session_id,session_position,session_length,track_id_clean,not_skipped
0_001396bb-b24f-4f19-9ade-671b6dcb356f,16,16,t_392c8880-d731-4d1c-a504-a093f83513c3,False
0_0013efcc-bd57-4a73-b519-2c59fa42defb,20,20,t_8611c55a-c47f-42b2-8b05-d9ee7bbb6aa5,False
0_00141184-1b81-4937-ad53-f05390e64a2b,20,20,t_495f8800-be64-4eb4-b08c-ceb3b77be87c,False
0_001442ea-ca81-479e-9780-ae765c1b1bde,20,20,t_33cc1b80-c1bb-4e63-a276-6cb30b0ea58c,True
0_0014cf98-576d-4d41-829d-652ee7b4b098,10,10,t_f0365a12-3f24-4aa7-b217-11194c429d32,False
0_0014d04b-c05f-4e04-b677-9a1f5d182a6c,20,20,t_64f3743c-f624-46bb-a579-0f3f9a07a123,False
0_0014f558-7944-4060-8947-c3d863798ad8,20,20,t_2e92391e-efea-4b42-82df-5999f26d7267,False
0_0014f6a2-1c0b-4548-9ff2-f3b62fc0a96b,20,20,t_d5339bc2-b11b-44b4-b1a4-50a96fa99dad,False
0_0014fd32-93eb-4bf8-b00f-7f5ea838cc71,12,12,t_83e57ca7-196d-445a-988a-ab401c1d50d7,False
0_001544ae-d305-4178-9236-8181ced909f4,20,20,t_a73255b4-b080-484c-9193-27da8e30bf04,False
0_00163291-7b74-4cdd-89ff-fb6e0ada2c8a,18,18,t_0f123593-5cb5-42ec-b4db-fb291a2e5eb9,True
0_001666eb-6d08-43c2-883a-76c48d8fc34b,20,20,t_69a74d04-b3ea-42f6-9b5b-a65d378a8220,False
0_00179cf6-d962-4889-a787-513827076eb2,13,13,t_452ee98d-f129-455d-b59c-1a128bce19bc,True
0_0017ac82-81d5-438e-9f8c-63bc17bc9ca2,13,13,t_279e82d9-0af6-4639-a4fe-5f0c48e3931e,True
0_00186766-ee41-49da-8e39-328bbef70f23,11,11,t_ab55b9b5-3a1a-46a4-b58a-1c29136a08e2,False
0_00189cd3-c830-43cd-9dc3-2241b54fcbb7,20,20,t_7b5d4361-cf75-430f-8ad4-be1f3b385746,False
0_00189d78-d420-4b73-8f7f-836f795c7c06,20,20,t_aebadd5b-db66-4264-be13-137e2bf89801,False
0_001a5ce4-4ab7-4508-861b-56c6e40426b9,15,15,t_7c8d4b4b-af60-4d10-82c5-a048e3bed613,True
0_001aedd5-25aa-4000-bb0d-e192aebe0e0a,16,16,t_f8b241f3-8f4a-4db5-869e-e53029993105,False
0_001aef51-ae28-46ba-a5f7-07f53f89a0dd,10,10,t_6c7906cf-9f8f-44d3-84a9-a2c0b89f3b92,False
0_001b1c67-69b3-4ec6-9c8c-e4f84fa9fba4,20,20,t_7d989f00-3675-4330-8bdf-6e145756067b,False
0_001b3451-ac25-4f65-aec0-f8d7bf10ff86,15,15,t_3281b094-f473-4bb5-9ba0-d35e23f01f8e,False
0_001bcdcd-5413-4f0d-bc9d-47ba460c63a4,20,20,t_f5205a27-c6b0-4c4d-b45f-312798372619,True
0_001bd376-06fa-4fab-bbfb-a496f88e1cee,20,20,t_269f993d-9dbe-49f7-bf5d-299a3255dcd7,False
0_001c0d07-d7be-4770-8e2a-7b5b084cd4fc,10,10,t_b9f6bdd1-905e-493e-8973-1b13b38c4b42,True
0_001c2462-648f-411b-b59c-eaa30787561b,12,12,t_81b9a202-281e-42a4-b068-e0c0f44e1e4d,True
0_001d5a75-a388-4986-bba8-2433c6b0f9b8,12,12,t_9f7e9162-caef-4223-926e-5b5872f95099,True
0_001dc5e3-6c41-431c-8c7b-6d073d9ea683,20,20,t_a979c48e-da97-42ad-bbc7-b3af247a9f9d,False
0_001de7c8-fde9-42a7-a3b1-39612d123762,20,20,t_83e00517-6b4f-49c2-b251-f4e2fe954103,True
0_001dfda4-9357-4136-9f56-4066f50e9d35,20,20,t_a66ea088-b357-449a-8a1e-64dd0b8d6cb5,False
0_001e026a-72bc-4137-8859-3aa090ce6aa6,18,18,t_b193cd79-b6cb-4514-8c5b-ead28ac8dd30,True
0_001e16a4-1d78-4d39-b191-df6b2cc97a02,20,20,t_4319026b-d2b5-478d-bf37-8f2873645c5c,False
0_001ebc74-ee3d-4cbf-b2ca-94d957e44583,17,17,t_798f5e16-6e0e-44b5-84e4-03160f02c2e3,True
0_001f40a8-1d6a-4f18-ad39-411795dcf7ff,15,15,t_052cd6d1-4505-4387-83a0-d7b6fa859a90,True
0_001f6fca-d0fd-40ec-9b1c-0ec96e2fd06b,20,20,t_547c9aef-5a2e-431d-8ae0-39ce95a2c61e,True
0_001f7f5b-8039-44b0-836d-319cfa05205a,12,12,t_b598e81d-c7dc-4bee-8c30-308e7b0cca2f,False
0_00202254-4b6b-45c2-9471-a5b26d5c751e,20,20,t_dee47331-23dc-4038-a463-2bdffdd3b5e7,False
0_00207c2a-30b3-400f-99fb-52f77722ee47,20,20,t_c0de25db-8c01-4122-9991-27132e852a18,False
0_0020bfcc-989f-4b5c-8082-c1121ef078cb,20,20,t_fec4d8aa-7ff4-418b-b3d8-835ca0f7672e,True
0_0020cb4a-b00e-43d2-8016-0de1b38fc578,12,12,t_cced1dab-2e4f-4673-9c9a-dd9950dde796,True
0_00210246-b302-4068-a184-09a74ff056f9,10,10,t_08f165bd-6f07-4c17-a820-32c68d9abcc1,False
0_0021554f-531b-45fe-82e4-4ac1714ffa48,13,13,t_4f77bae0-f65b-4140-819c-2d1313b92382,True
0_0021e01f-aa7d-4746-a4d6-10ec3741ec1f,20,20,t_f89813f9-c46f-4662-acc8-8ab2fe3a7778,False
0_0021f2d4-9895-4e6d-8e5b-c11de74de30b,10,10,t_3708b5d6-9d52-4470-9484-fff045aba7b6,True
0_00225fdd-3b93-49de-8b71-2ccf0703e61b,14,14,t_dcb9aa3d-36ac-40bf-ae13-89a72d39ccdb,True
0_0022f275-b84c-4bab-a0b7-ae5d4799b8fe,20,20,t_6dc02fe6-4d78-414a-8439-31240ee02270,False
0_00233d72-be51-447d-8a13-f5c9766f8cf6,19,19,t_b1fa6df1-2c49-40ad-95c2-6b9abc11db83,False
0_00235849-f5ed-4435-8953-74529ec22cb1,15,15,t_cb6de631-e677-44be-9832-e6beb444ae78,False
0_0023efe6-5658-4168-be67-45d3316cae0d,20,20,t_f90668a5-3583-4ed8-806c-5737d0067018,False
0_0024ad6a-c073-45cb-bf28-11032771e182,20,20,t_b084ac6d-3e2a-4c47-bd76-27d7e6652b85,False
0_0024cb37-2de9-41ac-bb92-97792d034216,11,11,t_d7da4d12-89ca-4d9a-a141-cb0c9ecdbc80,False
0_0024e154-4f05-4a16-bc4b-1fb346e89e1f,11,11,t_defc9fc6-02f0-4e5d-82ed-6035b2f9bc2a,False
0_00250620-2a55-42f5-bf93-1b1b51b5fb31,20,20,t_0ad12715-02c1-423c-b40a-4ce8fa9c76fa,True
0_0025179d-081b-4e18-a0f7-d2cd879e27b2,20,20,t_60f66eb9-d772-4008-afa3-cf0feda7798c,True
0_002519cc-ee0c-4a73-8a7b-cb5f38cc74b7,14,14,t_4e4993d6-72cb-41a1-ba97-dc2801f4bed0,True
0_00255410-d4c2-4fcd-bf3a-6e3ae2e6aca3,12,12,t_64f3743c-f624-46bb-a579-0f3f9a07a123,False
0_00259256-c8a2-4b6d-80bc-68b143d15a1c,20,20,t_14ef0fc2-d9d0-4960-9a06-136619ba13a3,False
0_00259bcf-1ea1-49cd-ba6d-179006729199,10,10,t_bb1b51c8-50f9-400c-bf71-365578f1d715,True
0_00260f8e-5f32-49ab-b3c9-256000bbc518,18,18,t_4417680b-8705-4f64-9a9e-3bb10bdae826,False
0_00279f8f-d3f4-4473-ae6c-0a41aa6ff647,15,15,t_e2dda38d-f826-481b-b49a-a1d9051f5c6d,True
0_0028e777-5f54-4804-98cb-6a36cc6cb1ec,11,11,t_23cfd32e-4156-4e6c-b499-8743b71e1644,True
0_00295ee5-015c-41b7-8024-e00f1527f2dc,11,11,t_47a099d3-a06c-4b44-bbfd-af693e63c24b,True
0_002966bf-2101-41e3-a1db-cd6a1d1cbed6,11,11,t_4235dc3c-4e26-4f24-bb44-b6a623bf280f,False
0_00297b75-84de-4ea7-84df-bdd11e9fb665,20,20,t_c4ac8f30-ff28-4176-aec6-bf446005f4ff,False
0_0029d467-d1c5-4a83-8385-8ce0f8897b26,20,20,t_b4387ff6-c28d-4088-a542-4928fef19baa,True
0_002a9730-a02a-46da-8036-9049de274842,17,17,t_f84767f2-960a-4ee0-a9ef-3455e10aab1c,True
0_002ab260-d249-46fa-83f4-3d1c3cdb8616,20,20,t_07a5144f-0604-44b3-877b-cce07866ca66,True
0_002b2e36-21af-4055-897a-e8155d796584,20,20,t_655a249b-ff32-451a-8eda-b38d1378d36c,False
0_002ba7ee-a3bc-4f40-aeef-39e07d7c39de,20,20,t_ac639a1c-4a5d-4519-bda8-1e592cb8ff01,False
0_002bb38c-180d-46bc-adde-7302600793da,14,14,t_9954dbf0-cffd-4990-8bd9-0fa1708779f8,True
0_002c8e3a-7201-4d8d-b614-5d5d2e417e60,11,11,t_aca5bda9-41ce-45e2-b90e-91f90313b889,True
0_002ce345-c1a1-4b90-aac9-13b50b5c709f,20,20,t_7a66d002-10da-4121-855e-7fe38e24a433,False
0_002de1c0-48ac-48c3-b1c2-58266f77ba37,16,16,t_f6a424bc-e7f0-4352-8ce1-94371c004abc,True
0_002e17ff-3e6d-4e30-b8f0-ce9eb05f2e74,11,11,t_ab0a9570-c95b-4e1d-a8d4-ac1d30d96e3d,True
0_002e2503-200e-40f3-b1b6-0d74e4343ea2,11,11,t_7676ae5e-5837-44d7-aaa7-644fb1850c2b,True
0_002eaab9-096e-4516-b46e-cc0d42901514,11,11,t_61bf3d2c-da5f-43eb-9406-9b616f2ffc9d,False
0_002f382c-42df-4231-8710-39886bce250e,13,13,t_b7ae55c0-6d17-4f06-a5ab-9c53da21a5cb,True
0_002f4922-9329-4313-8df2-e21a54eae23a,14,14,t_5db6d299-bc6a-4e34-b94e-09fc7cbf443e,False
0_00300a49-1a0b-424d-ad2d-139932439856,14,14,t_e8ff587b-32c6-4cb8-8112-d02f83698074,True
0_0030107d-d09e-4284-aaa4-4a77d0d31869,20,20,t_80959751-f933-456b-b202-02d0c0a7e65b,True
0_003033f3-8953-4bcb-94df-62c227ab556e,20,20,t_574a969f-e08c-4c51-a3f8-350de681db09,False
0_0030ab51-b6f8-40a4-9293-2e6809c1c2f5,14,14,t_3c484470-267c-438e-b7ba-2db4ef4407df,True
0_00314960-6fbb-445e-8c89-5ec21a69f52c,20,20,t_d1b413bc-c5d0-43ff-ac14-a4401419ac82,False
0_0031f3c7-9869-4b6b-89c1-0b4bb04f8496,20,20,t_b90ab199-104b-47b3-a9c9-947341db83d5,True
0_0032b965-74d5-49e9-8272-7b5948320e6e,20,20,t_f7887e0f-38d4-487f-acb2-907026f927ea,False
0_0032d481-e017-44ae-9dea-d1db75acbafc,17,17,t_3ed47a50-efac-401b-a431-0147048ee9d8,False
0_00330c55-d1d7-427c-af10-52cb1b6b0361,20,20,t_059ca006-b9ed-4350-a968-e124d8d7f86b,False
0_003358d4-7930-4361-9830-48159a012f36,20,20,t_a998907c-e11c-4a4e-b9d2-b34846bfb839,True
0_0033a562-767b-4694-9b2f-6c6817ec09f7,20,20,t_e422e092-d904-4f96-9934-06aceb3eb1bf,False
0_0033b54f-04ec-4b54-9d50-db4e5a91de40,14,14,t_7315843c-bfc2-4392-aac8-41866786aa5c,True
0_0034d560-d845-49ba-8b66-70d845458727,15,15,t_244d8a7e-a290-424d-9b2e-05b06426914d,True
0_003553ab-c3e7-40d0-a9d3-2648581cd452,20,20,t_5ae8a749-6543-47db-af89-01ea46d3a1a5,True
0_0035658f-5ed3-4026-8e28-4d6507f24333,12,12,t_ec5a6967-3b50-43bc-a511-63bca8bacae1,True
0_0035b35a-215a-49db-a49b-0b89ddf096bb,20,20,t_b7ae55c0-6d17-4f06-a5ab-9c53da21a5cb,False
0_0037a176-7b46-429f-aff9-35c08bddd094,13,13,t_9a29d16a-95b6-45e2-9305-3e8aed6ef686,False
0_0037b3da-1968-4902-a79d-31f7bfb60c0e,20,20,t_ba63ff24-99b8-4f01-9353-724345a1c34c,True
0_0037bd8e-0a41-431c-bb13-f22890848bac,13,13,t_b3db6567-f986-4b8f-bd7a-04057448ab3a,True
0_003831e5-f387-44a7-8698-9c2fdcb8c781,14,14,t_54f8dbbb-1f4f-4ed0-a550-23f7bb88a636,True
0_00392539-1dc0-45a7-a8ff-00a9a6d90878,10,10,t_b3f5e610-8bd4-4a87-ba31-0acf0780702a,True
0_00396a80-bc34-46ef-a919-4a621dd1f6b9,12,12,t_f488fa90-de3d-4bd3-9a1c-757f1f9dc428,False
0_00396e1b-f527-4b58-9617-074f83814535,11,11,t_0e3dec82-10b4-49f1-8c2e-cd19249f7d2c,True
0_00398bed-9c31-4a97-b12f-4719ff04a40e,11,11,t_9a31436c-a57a-4d7a-9bbc-50f0deca33de,False
0_003a0844-c76b-4164-9f08-5a096febed4b,14,14,t_f2dc1676-9fea-476c-8bfe-fc72ac43dca1,False
0_003a14fe-6673-45ce-8e55-076982184f5f,13,13,t_8c4d29b1-e0bf-464c-88f7-ac19240cbba0,False
0_003a605c-6ba7-466e-954e-267995194275,19,19,t_b1fb2725-408d-4e3b-bbe9-548ace293b15,True
0_003af947-65e2-436c-b0fb-5408e93be528,15,15,t_883af4f2-2439-4e47-8e1e-c0131ffc03de,True
0_003b6b14-70cb-4d2b-99d4-69d3cc91e257,12,12,t_65b2c42e-6d48-4526-8a86-6de505e56e77,True
0_003b840b-a0c1-4d8b-97d9-7cc1abac06ef,11,11,t_f9a2cc34-83c0-459f-a75b-b65cd373be1d,False
0_003c00f6-4017-4c38-a7b6-96d76cd443bb,20,20,t_b8ec3637-d9f5-482f-bc17-4536d203fea2,True
0_003c218d-ed52-4cfd-a6de-0541ffe70a15,19,19,t_0ecb0e5a-7ef9-41d0-b4a5-04227f26df91,False
0_003c2b60-1527-48c0-8a89-928cfb08fc66,20,20,t_0566c4e1-7950-4f25-9bb2-587e25fb3793,False
0_003ce44d-a08a-4a6b-99ba-ada2789f5bbc,13,13,t_a3aa6444-5740-436b-9b79-ea0d2518f3f3,True
0_003d0b7d-8c68-49b4-b0c0-49e501978523,10,10,t_80f31b8f-442b-4fc1-a58e-c5ddd1c27091,True
0_003d3988-92c3-4656-a838-61707447ab73,13,13,t_7986917c-9b93-4e8f-94fe-ac5e2b8a87af,False
0_003dc4c6-9289-4f12-9a6b-1db456fc6454,11,11,t_a38fff02-14b8-4af8-a001-3b1f7bd009e5,True
0_003e210a-ea37-4063-97b4-c6e055e3ea0e,20,20,t_d47a4f9b-8d6f-449c-a752-2d301ab3ee7d,False
0_003fd584-63a1-4411-9de5-08858a99a3f9,20,20,t_d60b5e34-c3f6-49a7-8378-9ea565478982,True
0_003fd817-60a2-4b5a-be9c-019988e2d0fd,20,20,t_4def1412-87d9-4291-9625-0bdd440489c8,True
0_003fdf83-8906-4cf2-a0d1-508b2c990bef,20,20,t_70a68c08-8eef-4f3f-88fa-6b4e5921dc74,True
0_004068f2-38a7-4b8e-93b2-80e967c57c5f,20,20,t_bf61900a-4646-436f-b304-e363456bd0db,True
0_004079d3-7ff5-4d30-8df9-74461cb37966,20,20,t_6630fa7d-86bb-43db-89ba-8874f703073a,False
0_0040c1f3-634d-4a9d-9b59-28e388e7a69a,20,20,t_abe577df-bc3e-48ff-a13c-f2fd7a295ba6,True
0_0040c6a9-d8af-49c5-8f0f-51b643a307fa,18,18,t_c3c525a7-d14b-4bc0-8941-7d2879e723a1,False
0_0040d206-cfdc-45d4-ae7a-d38656cf46c0,20,20,t_de229db0-5c60-41f4-85df-d8bd8df065bd,False
0_0040d4d8-a985-4b8e-8cf8-73cf6245029e,20,20,t_10591292-825d-41b7-8c81-f76cb0be5b89,True
0_004178b5-8aa0-464e-ba4f-cb2bb1303d5e,20,20,t_531de5d7-1c10-4ee6-87d8-d5ed67c7c1de,True
0_00418ca0-48fe-45d1-a5aa-4df0c9b051bd,12,12,t_5718ab08-3a15-4d3f-9e63-42b2f6805e31,True
0_0041b798-0da7-4913-b7b8-13f6be091ce6,11,11,t_bacf06d3-9185-4183-84ea-ff0db51475ce,True
0_0041c0a1-1811-4b22-98cc-24420789dde5,20,20,t_1a7b58aa-01e3-44a3-b10a-d1f225446ce5,True
0_00435b28-1c47-4c84-b2ac-df59bd9745ad,20,20,t_6d97041d-a411-45e5-9f26-8f4416a1a2bb,True
0_004456e5-b2ef-4808-8ffa-d2a3c21348b2,20,20,t_a563a92e-39c7-49de-a060-d14e6169b784,True
0_00449273-6108-48e2-96b4-daeb9f0e3632,14,14,t_a6bbed28-3e9c-489a-be02-fa9cf36b5496,False
0_0044ef54-9296-4ca3-9e35-c9477cd6643b,20,20,t_b00606b0-4050-4382-970d-625ce8a0fb34,False
0_00453dfe-1eff-4cdc-9c34-bc99ec61a008,20,20,t_3cc43a66-bce0-45a0-8268-8af48b97eb24,False
0_004559f3-ffbd-4570-9a09-b11e2788ec1d,18,18,t_2f87ec08-76dc-4597-84d0-9a401d310362,True
0_00460575-91d8-4c25-8ac7-5fc959b7550f,20,20,t_5c1e47ca-a50a-450f-bcd0-23d622a672e6,False
0_004623a0-f13b-4b8b-aca7-e75ac378e070,18,18,t_903ffa45-5c9d-4193-bb8f-1fef8d081a59,True
0_0047515e-edbd-4c8b-a9e8-3cb0b8ae45c6,13,13,t_bd821f2a-5b58-4ec8-a0a7-602d9f2177b0,True
0_0047abb7-32a1-4e11-bb62-3919444d7a73,20,20,t_f212aa93-dc9a-485a-af9a-9a4ca8e833d5,True
0_004843e6-a384-467a-8807-91ee4c1c0c6c,10,10,t_633cefa1-4592-4844-9ecb-adb764d68798,False
0_00488d2c-6ec5-4111-acc9-8738d23391ed,12,12,t_f09db0d8-dd19-417a-8ec4-d6874ffe2773,False
0_00489303-3b7a-4398-80cb-c29b2f81832c,20,20,t_14c60678-2f10-47b2-b5be-a04ae0e01176,True
0_0049477e-187a-41a6-ae4d-46be71e43d1a,20,20,t_01d7104d-d28c-4c56-9012-d22ef2b8bdc9,False
0_004a1d46-6c42-453f-bb26-cb0a80da40b6,20,20,t_f982a726-d0bf-4322-82e1-3ba3f768599c,True
0_004a6522-7c5a-4d3a-9c38-bdbc332e2cbd,20,20,t_b0bfba64-6a61-4363-8632-8c705d1a16e3,False
0_004acb34-59ea-4e4f-b83f-c03573e59625,20,20,t_9e4ec1d4-2e8e-4a38-a1d2-6b4aee4149d7,False
0_004b1d55-9826-4033-9a3c-7f7fcbd7c4c8,20,20,t_4b9c9ef0-9497-4d98-91fe-9e617cefa866,False
0_004b70e0-bc80-479d-92df-8af5316466b4,20,20,t_5a6a0443-044a-4351-930f-5e417a396634,False
0_004be803-464c-4290-b9f8-7868978b934d,13,13,t_7533e7ff-568e-448b-904e-fc0c3a9ec87e,True
0_004bf638-85bb-4a36-b586-ef8b85e205ae,20,20,t_6cee3558-51ed-48d9-86fd-716902e1c624,False
